frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"1","Mar 27, 2025 04:09:56.250735000 India Standard Time","3.216.186.75","172.16.44.208","443","55792",,,,,
"2","Mar 27, 2025 04:09:56.251253000 India Standard Time","172.16.44.208","3.216.186.75","55792","443",,,,,
"3","Mar 27, 2025 04:09:56.256625000 India Standard Time","3.216.186.75","172.16.44.208","443","55792",,,,,
"4","Mar 27, 2025 04:09:57.724946000 India Standard Time","172.16.44.208","104.21.80.1","57562","443",,,,,
"5","Mar 27, 2025 04:09:57.725014000 India Standard Time","172.16.44.208","104.21.80.1","57562","443",,,,,
"6","Mar 27, 2025 04:09:57.725033000 India Standard Time","172.16.44.208","104.21.80.1","57562","443",,,,,
"7","Mar 27, 2025 04:09:57.730515000 India Standard Time","104.21.80.1","172.16.44.208","443","57562",,,,,
"8","Mar 27, 2025 04:09:57.730515000 India Standard Time","104.21.80.1","172.16.44.208","443","57562",,,,,
"9","Mar 27, 2025 04:09:57.730515000 India Standard Time","104.21.80.1","172.16.44.208","443","57562",,,,,
"10","Mar 27, 2025 04:09:57.799650000 India Standard Time","104.21.80.1","172.16.44.208","443","57562",,,,,
"11","Mar 27, 2025 04:09:57.844769000 India Standard Time","172.16.44.208","104.21.80.1","57562","443",,,,,
"12","Mar 27, 2025 04:09:58.014602000 India Standard Time","104.21.80.1","172.16.44.208","443","57562",,,,,
"13","Mar 27, 2025 04:09:58.058672000 India Standard Time","172.16.44.208","104.21.80.1","57562","443",,,,,
"14","Mar 27, 2025 04:09:58.141881000 India Standard Time",,,,,,,,,
"15","Mar 27, 2025 04:09:59.757466000 India Standard Time","172.16.44.208","20.192.44.80","55378","443",,,,,
"16","Mar 27, 2025 04:09:59.762126000 India Standard Time","20.192.44.80","172.16.44.208","443","55378",,,,,
"17","Mar 27, 2025 04:10:00.314815000 India Standard Time","172.16.44.208","8.8.8.8","57266","443",,,,,
"18","Mar 27, 2025 04:10:00.319691000 India Standard Time","8.8.8.8","172.16.44.208","443","57266",,,,,
"19","Mar 27, 2025 04:10:00.552596000 India Standard Time","20.192.44.80","172.16.44.208","443","55378",,,,,
"20","Mar 27, 2025 04:10:00.593762000 India Standard Time","172.16.44.208","20.192.44.80","55378","443",,,,,
"21","Mar 27, 2025 04:10:00.981134000 India Standard Time","34.206.195.208","172.16.44.208","443","55797",,,,,
"22","Mar 27, 2025 04:10:00.981657000 India Standard Time","172.16.44.208","34.206.195.208","55797","443",,,,,
"23","Mar 27, 2025 04:10:00.986818000 India Standard Time","34.206.195.208","172.16.44.208","443","55797",,,,,
"24","Mar 27, 2025 04:10:05.016492000 India Standard Time","34.237.73.95","172.16.44.208","443","57258",,,,,
"25","Mar 27, 2025 04:10:05.016763000 India Standard Time","172.16.44.208","34.237.73.95","57258","443",,,,,
"26","Mar 27, 2025 04:10:05.023154000 India Standard Time","34.237.73.95","172.16.44.208","443","57258",,,,,
"27","Mar 27, 2025 04:10:05.190575000 India Standard Time","172.16.44.208","34.237.73.95","57258","443",,,,,
"28","Mar 27, 2025 04:10:05.195201000 India Standard Time","34.237.73.95","172.16.44.208","443","57258",,,,,
"29","Mar 27, 2025 04:10:05.501555000 India Standard Time","34.237.73.95","172.16.44.208","443","57258",,,,,
"30","Mar 27, 2025 04:10:05.547399000 India Standard Time","172.16.44.208","34.237.73.95","57258","443",,,,,
"31","Mar 27, 2025 04:10:09.508742000 India Standard Time",,,,,,,,,
"32","Mar 27, 2025 04:10:10.227432000 India Standard Time",,,,,,,,,
"33","Mar 27, 2025 04:10:10.672161000 India Standard Time","172.16.44.208","20.192.44.80","55378","443",,,,,
"34","Mar 27, 2025 04:10:10.677200000 India Standard Time","20.192.44.80","172.16.44.208","443","55378",,,,,
"35","Mar 27, 2025 04:10:10.737295000 India Standard Time",,,,,,,,,
"36","Mar 27, 2025 04:10:11.147444000 India Standard Time",,,,,,,,,
"37","Mar 27, 2025 04:10:11.147472000 India Standard Time",,,,,,,,,
"38","Mar 27, 2025 04:10:12.173516000 India Standard Time",,,,,,,,,
"39","Mar 27, 2025 04:10:13.194723000 India Standard Time","0.0.0.0","255.255.255.255",,,"68","67",,,
"40","Mar 27, 2025 04:10:13.196998000 India Standard Time",,,,,,,,,
"41","Mar 27, 2025 04:10:14.833343000 India Standard Time","0.0.0.0","255.255.255.255",,,"68","67",,,
"42","Mar 27, 2025 04:10:14.833433000 India Standard Time","0.0.0.0","255.255.255.255",,,"68","67",,,
"43","Mar 27, 2025 04:10:14.935754000 India Standard Time",,,,,,,,,
"44","Mar 27, 2025 04:10:14.935792000 India Standard Time",,,,,,,,,
"45","Mar 27, 2025 04:10:15.140507000 India Standard Time",,,,,,,,,
"46","Mar 27, 2025 04:10:15.769396000 India Standard Time","172.16.44.208","20.192.44.80","55378","443",,,,,
"47","Mar 27, 2025 04:10:15.774679000 India Standard Time","20.192.44.80","172.16.44.208","443","55378",,,,,
"48","Mar 27, 2025 04:10:16.549284000 India Standard Time","20.192.44.80","172.16.44.208","443","55378",,,,,
"49","Mar 27, 2025 04:10:16.597937000 India Standard Time","172.16.44.208","20.192.44.80","55378","443",,,,,
"50","Mar 27, 2025 04:10:17.508773000 India Standard Time","172.16.44.208","13.78.111.198","57857","443",,,,,
