frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"1","Mar 27, 2025 00:31:35.536859000 India Standard Time","20.192.44.80","172.16.44.208","443","63691",,,,,
"2","Mar 27, 2025 00:31:35.584162000 India Standard Time","172.16.44.208","20.192.44.80","63691","443",,,,,
"3","Mar 27, 2025 00:31:36.875303000 India Standard Time",,,,,,,,,
"4","Mar 27, 2025 00:31:36.875345000 India Standard Time",,,,,,,,,
"5","Mar 27, 2025 00:31:37.009423000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"6","Mar 27, 2025 00:31:37.009519000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"7","Mar 27, 2025 00:31:37.009571000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"8","Mar 27, 2025 00:31:37.038057000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"9","Mar 27, 2025 00:31:37.038057000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"10","Mar 27, 2025 00:31:37.081364000 India Standard Time",,,,,,,,,
"11","Mar 27, 2025 00:31:37.081396000 India Standard Time",,,,,,,,,
"12","Mar 27, 2025 00:31:37.082673000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"13","Mar 27, 2025 00:31:37.220881000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"14","Mar 27, 2025 00:31:37.221664000 India Standard Time","172.16.44.208","172.16.1.11",,,"60505","53",,,"safeframe.googlesyndication.com"
"15","Mar 27, 2025 00:31:37.221949000 India Standard Time","172.16.44.208","172.16.1.11",,,"56092","53",,,"safeframe.googlesyndication.com"
"16","Mar 27, 2025 00:31:37.222078000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"17","Mar 27, 2025 00:31:37.222115000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"18","Mar 27, 2025 00:31:37.231175000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"19","Mar 27, 2025 00:31:37.403555000 India Standard Time","172.16.1.11","172.16.44.208",,,"53","56092",,,"safeframe.googlesyndication.com"
"20","Mar 27, 2025 00:31:37.403555000 India Standard Time","172.16.1.11","172.16.44.208",,,"53","60505",,,"safeframe.googlesyndication.com"
"21","Mar 27, 2025 00:31:37.404406000 India Standard Time","172.16.44.208","172.16.1.11",,,"49152","53",,,"safeframe.googlesyndication.com"
"22","Mar 27, 2025 00:31:37.412435000 India Standard Time","172.16.1.11","172.16.44.208",,,"53","49152",,,"safeframe.googlesyndication.com"
"23","Mar 27, 2025 00:31:37.413056000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"24","Mar 27, 2025 00:31:37.413109000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"25","Mar 27, 2025 00:31:37.420846000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"26","Mar 27, 2025 00:31:37.449479000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"27","Mar 27, 2025 00:31:37.495880000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"28","Mar 27, 2025 00:31:37.593634000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"29","Mar 27, 2025 00:31:37.594425000 India Standard Time","172.16.44.208","172.16.1.11",,,"52638","53",,,"safeframe.googlesyndication.com"
"30","Mar 27, 2025 00:31:37.594687000 India Standard Time","172.16.44.208","172.16.1.11",,,"57335","53",,,"safeframe.googlesyndication.com"
"31","Mar 27, 2025 00:31:37.594830000 India Standard Time","172.16.44.208","8.8.4.4","64728","443",,,,,
"32","Mar 27, 2025 00:31:37.604225000 India Standard Time","172.16.1.11","172.16.44.208",,,"53","52638",,,"safeframe.googlesyndication.com"
"33","Mar 27, 2025 00:31:37.604225000 India Standard Time","172.16.1.11","172.16.44.208",,,"53","57335",,,"safeframe.googlesyndication.com"
"34","Mar 27, 2025 00:31:37.632060000 India Standard Time","8.8.4.4","172.16.44.208","443","64728",,,,,
"35","Mar 27, 2025 00:31:38.133013000 India Standard Time","172.16.44.208","20.192.44.80","63691","443",,,,,
"36","Mar 27, 2025 00:31:38.151406000 India Standard Time","20.192.44.80","172.16.44.208","443","63691",,,,,
"37","Mar 27, 2025 00:31:38.573488000 India Standard Time","172.16.44.208","172.20.165.210","65301","7680",,,,,
"38","Mar 27, 2025 00:31:38.573974000 India Standard Time","172.16.44.208","172.20.165.226","65302","7680",,,,,
"39","Mar 27, 2025 00:31:39.317953000 India Standard Time","172.16.44.208","103.10.124.5","63713","443",,,,,
"40","Mar 27, 2025 00:31:39.451995000 India Standard Time","129.227.206.5","172.16.44.208","443","64949",,,,,
"41","Mar 27, 2025 00:31:39.451995000 India Standard Time","129.227.206.5","172.16.44.208","443","64949",,,,,
