frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
2,1,8,4,443.0,55378.0,68.0,67.0,,,
4,3,13,4,443.0,56829.0,68.0,67.0,,,
6,5,7,4,443.0,56899.0,68.0,67.0,,,
7,6,-1,-1,27233.25,29539.5625,68.0,67.0,,,
9,8,9,4,443.0,55792.0,68.0,67.0,,,
10,9,5,2,56868.0,443.0,68.0,67.0,,,
11,10,3,4,443.0,56868.0,68.0,67.0,,,
12,11,-1,-1,27233.25,29539.5625,68.0,67.0,,,
13,12,-1,-1,27233.25,29539.5625,68.0,67.0,,,
14,13,-1,-1,27233.25,29539.5625,68.0,67.0,,,
16,15,-1,-1,27233.25,29539.5625,68.0,67.0,,,
17,16,-1,-1,27233.25,29539.5625,68.0,67.0,,,
18,17,-1,-1,27233.25,29539.5625,68.0,67.0,,,
19,18,-1,-1,27233.25,29539.5625,68.0,67.0,,,
20,19,5,1,56933.0,443.0,68.0,67.0,,,
21,20,2,4,443.0,56933.0,68.0,67.0,,,
22,21,5,0,56839.0,443.0,68.0,67.0,,,
23,22,1,4,443.0,56839.0,68.0,67.0,,,
24,23,8,4,443.0,55378.0,68.0,67.0,,,
25,24,5,7,55378.0,443.0,68.0,67.0,,,
26,25,5,11,56834.0,443.0,68.0,67.0,,,
27,26,11,4,443.0,56834.0,68.0,67.0,,,
28,27,11,4,443.0,56834.0,68.0,67.0,,,
29,28,5,11,56834.0,443.0,68.0,67.0,,,
30,29,5,7,55378.0,443.0,68.0,67.0,,,
31,30,8,4,443.0,55378.0,68.0,67.0,,,
32,31,-1,-1,27233.25,29539.5625,68.0,67.0,,,
33,32,9,4,443.0,55792.0,68.0,67.0,,,
34,33,5,9,55792.0,443.0,68.0,67.0,,,
35,34,9,4,443.0,55792.0,68.0,67.0,,,
36,35,5,7,55378.0,443.0,68.0,67.0,,,
37,36,8,4,443.0,55378.0,68.0,67.0,,,
38,37,3,4,443.0,56868.0,68.0,67.0,,,
39,38,5,2,56868.0,443.0,68.0,67.0,,,
40,39,3,4,443.0,56868.0,68.0,67.0,,,
41,40,5,2,56868.0,443.0,68.0,67.0,,,
42,41,10,4,443.0,55797.0,68.0,67.0,,,
43,42,5,10,55797.0,443.0,68.0,67.0,,,
44,43,10,4,443.0,55797.0,68.0,67.0,,,
46,45,5,1,56932.0,443.0,68.0,67.0,,,
47,46,2,4,443.0,56932.0,68.0,67.0,,,
49,48,8,4,443.0,55378.0,68.0,67.0,,,
50,49,5,7,55378.0,443.0,68.0,67.0,,,
51,50,5,12,55589.0,443.0,68.0,67.0,,,
52,51,12,4,443.0,55589.0,68.0,67.0,,,
53,52,5,11,56834.0,443.0,68.0,67.0,,,
54,53,11,4,443.0,56834.0,68.0,67.0,,,
55,54,5,5,56944.0,443.0,68.0,67.0,,,
56,55,6,4,443.0,56944.0,68.0,67.0,,,
57,56,11,4,443.0,56834.0,68.0,67.0,,,
58,57,5,3,56945.0,443.0,68.0,67.0,,,
