No.,Time,Source,Destination,Protocol,Length,Info
1,0.0,9,17,5,111,118
2,0.004062,20,8,4,60,1
3,0.113472,20,8,5,100,118
4,0.162422,9,17,4,54,67
5,2.55619,13,22,0,56,185
6,2.55619,38,22,0,56,184
7,3.680797,44,22,0,56,169
8,4.196352,43,22,0,56,172
9,5.42681,9,3,4,54,93
10,5.427614,9,2,5,591,118
11,5.427854,9,21,5,244,118
12,5.427907,9,21,5,93,118
13,5.427954,9,21,5,244,118
14,5.430372,4,8,4,60,36
15,5.430372,3,8,4,60,24
16,5.435816,26,8,4,60,19
17,5.435816,26,8,4,60,20
18,5.435816,26,8,4,60,21
19,5.435816,26,8,5,659,119
20,5.453061,9,21,5,89,118
21,5.457991,26,8,5,163,120
22,5.460331,9,21,5,93,118
23,5.461004,9,21,5,244,118
24,5.461086,9,21,5,244,118
25,5.464057,26,8,4,60,23
26,5.467751,26,8,5,137,118
27,5.468365,9,21,5,89,118
29,5.473773,9,21,5,93,118
30,5.474362,9,4,4,66,97
31,5.479986,5,8,4,66,42
32,5.480095,9,4,4,54,94
34,5.485717,5,8,4,60,37
35,5.48685,5,8,4,60,38
36,5.507263,26,8,4,60,22
38,5.526226,5,8,6,63,118
39,5.526376,9,4,4,54,95
40,5.527086,9,4,6,128,123
41,5.527433,9,4,6,146,118
42,5.52773,9,4,6,291,118
43,5.527857,9,4,6,422,118
44,5.531278,5,8,4,60,39
45,5.531342,5,8,4,60,40
46,5.539034,5,8,6,1024,119
47,5.539536,9,4,6,85,118
48,5.5427,5,8,6,85,118
49,5.595418,9,4,4,54,96
50,5.608792,3,8,5,926,118
51,5.610845,9,2,5,705,118
53,5.614836,5,8,6,714,120
54,5.615564,9,4,6,93,118
55,5.615646,9,4,6,89,118
56,5.627558,5,8,4,60,41
57,5.627603,3,8,4,60,25
58,5.627603,3,8,4,60,26
59,5.816926,3,8,5,1070,118
60,5.867992,9,2,4,54,83
61,6.434663,9,14,5,293,118
62,6.440361,17,8,4,60,6
63,6.649979,25,22,0,42,167
64,6.679519,17,8,5,313,118
65,6.727938,9,14,4,54,75
66,7.470306,46,22,0,60,155
68,7.777403,34,22,0,56,170
69,7.777403,38,22,0,56,184
70,8.0844,34,22,0,56,160
71,9.011231,34,22,0,56,160
73,9.211044,43,22,0,56,172
74,10.031363,34,22,0,56,160
76,10.643994,41,22,0,56,168
77,10.848149,50,22,0,56,153
78,10.951874,29,22,0,56,216
79,10.951874,29,22,0,56,159
80,10.954019,29,22,0,56,195
81,10.954019,29,22,0,56,157
82,10.954019,29,22,0,56,209
83,10.954019,29,22,0,56,158
84,10.954019,29,22,0,56,211
85,10.954019,29,22,0,56,198
86,10.956569,29,22,0,56,200
87,10.956569,29,22,0,56,192
88,10.956569,29,22,0,56,165
89,10.956569,29,22,0,56,208
90,10.956569,29,22,0,56,214
91,10.956569,29,22,0,56,176
92,11.054129,29,22,0,56,203
93,11.054129,29,22,0,56,161
94,11.054129,29,22,0,56,213
95,11.054129,34,22,0,56,111
96,11.161897,34,22,0,56,170
97,11.259649,27,22,0,56,179
98,11.975691,29,22,0,56,157
99,11.975691,29,22,0,56,165
100,11.975691,29,22,0,56,198
101,12.424834,9,6,5,265,118
102,12.427558,7,8,4,60,12
103,12.910952,7,8,5,400,118
104,12.963752,9,6,4,54,79
105,13.000536,29,22,0,56,216
106,13.000536,29,22,0,56,157
107,13.000536,29,22,0,56,165
108,13.000536,29,22,0,56,198
109,15.046391,29,22,0,56,198
110,15.764668,29,22,0,56,163
111,15.970331,29,22,0,56,163
112,16.583772,29,22,0,56,207
113,16.787919,29,22,0,56,192
114,17.506277,29,22,0,56,198
115,17.81178,29,22,0,56,192
116,18.017561,29,22,0,56,161
117,18.017561,40,22,0,56,189
118,18.12023,29,22,0,56,209
119,18.733098,40,22,0,56,189
120,19.144314,29,22,0,56,209
121,19.655226,29,22,0,56,198
122,20.576989,41,22,0,56,168
123,22.01035,25,22,0,42,167
124,22.43074,9,14,5,294,118
125,22.44043,17,8,4,60,8
126,22.682908,17,8,5,314,118
127,22.737422,9,14,4,54,76
128,23.279626,9,4,4,55,86
129,23.286335,5,8,4,66,29
130,23.834017,9,13,4,55,84
131,23.846732,16,8,4,66,27
132,24.195627,9,12,4,55,85
133,24.202351,15,8,4,66,28
134,26.232273,17,8,5,78,118
135,26.232595,9,14,5,82,118
136,26.235609,17,8,4,60,9
137,26.337592,9,15,5,104,118
138,26.359858,18,8,5,93,118
139,26.400182,9,15,4,54,70
140,27.171401,9,20,5,104,118
